NAZWA;WK;PK;GK;GT;PT;Typ jednostki;Podtyp jednostki;Kod GUS;Kod MSWiA;Data od;Data do;Miejscowosc;Kod pocztowy;Adres
MI DZYLESIE;02;08;10;3;0;Gmina;Gmina miejsko-wiejska;0208103;;1994-01-01;;MI DZYLESIE;57-530;Plac Wolnoúci 1
NOWA RUDA;02;08;11;2;0;Gmina;Gmina wiejska;0208112;;1994-01-01;;NOWA RUDA;57-400;ul.Niepodleg≥oúci 4
RADK”W;02;08;12;3;0;Gmina;Gmina miejsko-wiejska;0208123;;1994-01-01;;RADK”W;57-420;Rynek 1
STRONIE åL•SKIE;02;08;13;3;0;Gmina;Gmina miejsko-wiejska;0208133;;1994-01-01;;STRONIE åL•SKIE;57-550;ul.Koúciuszki 55
SZCZYTNA;02;08;14;3;0;Gmina;Gmina miejsko-wiejska;0208143;;1994-01-01;;SZCZYTNA;57-330;ul.Wolnoúci 42
legnicki;02;09;00;0;1;Powiat;;0209000;;1999-01-01;;LEGNICA;59-220;pl.S≥owiaÒski 1
CHOJN”W;02;09;01;1;0;Gmina;Gmina miejska;0209011;;1994-01-01;;CHOJN”W;59-225;Pl.Zamkowy 1
CHOJN”W;02;09;02;2;0;Gmina;Gmina wiejska;0209022;;1994-01-01;;CHOJN”W;59-225;ul.Fabryczna 1
KROTOSZYCE;02;09;03;2;0;Gmina;Gmina wiejska;0209032;;1994-01-01;;KROTOSZYCE;59-223;ul. Piastowska 46
KUNICE;02;09;04;2;0;Gmina;Gmina wiejska;0209042;;1994-01-01;;KUNICE;59-216;ul.Gwarna 1
LEGNICKIE POLE;02;09;05;2;0;Gmina;Gmina wiejska;0209052;;1994-01-01;;LEGNICKIE POLE;59-241;ul. Dientzenhofera 1
MI£KOWICE;02;09;06;2;0;Gmina;Gmina wiejska;0209062;;1994-01-01;;MI£KOWICE;59-222;ul.II Armii WP 71
PROCHOWICE;02;09;07;3;0;Gmina;Gmina miejsko-wiejska;0209073;;1994-01-01;;PROCHOWICE;59-230;Rynek 1
RUJA;02;09;08;2;0;Gmina;Gmina wiejska;0209082;;1994-01-01;;RUJA;59-243;Ruja 23
lubaÒski;02;10;00;0;1;Powiat;;0210000;;1999-01-01;;LUBA—;59-800;ul.Mickiewicza 2
LUBA—;02;10;01;1;0;Gmina;Gmina miejska;0210011;;1994-01-01;;LUBA—;59-800;ul.7 Dywizji 14
åWIERAD”W-ZDR”J;02;10;02;1;0;Gmina;Gmina miejska;0210021;;1994-01-01;;åWIERAD”W-ZDR”J;59-850;ul.Pi≥sudskiego 15
LEåNA;02;10;03;3;0;Gmina;Gmina miejsko-wiejska;0210033;;1994-01-01;;LEåNA;59-820;Rynek 19
LUBA—;02;10;04;2;0;Gmina;Gmina wiejska;0210042;;1994-01-01;;LUBA—;59-800;ul.Dπbrowskiego 18
OLSZYNA;02;10;05;3;0;Gmina;Gmina miejsko-wiejska;0210053;;2005-01-01;;OLSZYNA;59-830;ul.Wolnoúci 6
PLATER”WKA;02;10;06;2;0;Gmina;Gmina wiejska;0210062;;1994-01-01;;PLATER”WKA;59-816;PlaterÛwka 20
SIEKIERCZYN;02;10;07;2;0;Gmina;Gmina wiejska;0210072;;1994-01-01;;SIEKIERCZYN;59-818;Siekierczyn 271
lubiÒski;02;11;00;0;1;Powiat;;0211000;;1999-01-01;;LUBIN;59-300;ul.KsiÍcia Ludwika I nr 5
LUBIN;02;11;01;1;0;Gmina;Gmina miejska;0211011;;1994-01-01;;LUBIN;59-300;ul.KiliÒskiego 10
LUBIN;02;11;02;2;0;Gmina;Gmina wiejska;0211022;;1994-01-01;;LUBIN;59-300;ul.W≥. £okietka 6
RUDNA;02;11;03;2;0;Gmina;Gmina wiejska;0211032;;1994-01-01;;RUDNA;59-305;Pl.ZwyciÍstwa 15
åCINAWA;02;11;04;3;0;Gmina;Gmina miejsko-wiejska;0211043;;1994-01-01;;åCINAWA;59-330;Rynek 17
lwÛwecki;02;12;00;0;1;Powiat;;0212000;;1999-01-01;;LW”WEK åL•SKI;59-600;al.Wojska Polskiego 25A
GRYF”W åL•SKI;02;12;01;3;0;Gmina;Gmina miejsko-wiejska;0212013;;1994-01-01;;GRYF”W åL•SKI;59-620;Rynek 1
LUBOMIERZ;02;12;02;3;0;Gmina;Gmina miejsko-wiejska;0212023;;1994-01-01;;LUBOMIERZ;59-623;Pl.Wolnoúci 1
LW”WEK åL•SKI;02;12;03;3;0;Gmina;Gmina miejsko-wiejska;0212033;;1994-01-01;;LW”WEK åL•SKI;59-600;Al.Wojska Polskiego 25 A
MIRSK;02;12;04;3;0;Gmina;Gmina miejsko-wiejska;0212043;;1994-01-01;;MIRSK;59-630;Pl.Wolnoúci 39
WLE—;02;12;05;3;0;Gmina;Gmina miejsko-wiejska;0212053;;1994-01-01;;WLE—;59-610;Pl.BohaterÛw Nysy 7
milicki;02;13;00;0;1;Powiat;;0213000;;1999-01-01;;MILICZ;56-300;ul.Wojska Polskiego 38
CIESZK”W;02;13;01;2;0;Gmina;Gmina wiejska;0213012;;1994-01-01;;CIESZK”W;56-330;ul.Grunwaldzka 41
KROåNICE;02;13;02;2;0;Gmina;Gmina wiejska;0213022;;1994-01-01;;KROåNICE;56-320;ul.Sportowa 4
MILICZ;02;13;03;3;0;Gmina;Gmina miejsko-wiejska;0213033;;1994-01-01;;MILICZ;56-300;ul.Trzebnicka 2
oleúnicki;02;14;00;0;1;Powiat;;0214000;;1999-01-01;;OLEåNICA;56-400;ul.S≥owackiego 10
OLEåNICA;02;14;01;1;0;Gmina;Gmina miejska;0214011;;1994-01-01;;OLEåNICA;56-400;Rynek-Ratusz
BIERUT”W;02;14;02;3;0;Gmina;Gmina miejsko-wiejska;0214023;;1994-01-01;;BIERUT”W;56-420;ul.Moniuszki 12
DOBROSZYCE;02;14;03;2;0;Gmina;Gmina wiejska;0214032;;1994-01-01;;DOBROSZYCE;56-410;Rynek 16
DZIADOWA K£ODA;02;14;04;2;0;Gmina;Gmina wiejska;0214042;;1994-01-01;;DZIADOWA K£ODA;56-504;ul.Oleúnicka 1
MIEDZYB”RZ;02;14;05;3;0;Gmina;Gmina miejsko-wiejska;0214053;;1994-01-01;;MI DZYB”RZ;56-513;ul.Kolejowa 13
OLEåNICA;02;14;06;2;0;Gmina;Gmina wiejska;0214062;;1994-01-01;;OLEåNICA;56-400;ul.11 Listopada 24
SYC”W;02;14;07;3;0;Gmina;Gmina miejsko-wiejska;0214073;;1994-01-01;;SYC”W;56-500;ul.Mickiewicza 1
TWARDOG”RA;02;14;08;3;0;Gmina;Gmina miejsko-wiejska;0214083;;1994-01-01;;TWARDOG”RA;56-416;ul.Ratuszowa 14
o≥awski;02;15;00;0;1;Powiat;;0215000;;1999-01-01;;O£AWA;55-200;ul.3-go Maja 1
O£AWA;02;15;01;1;0;Gmina;Gmina miejska;0215011;;1994-01-01;;O£AWA;55-200;Pl.Zamkowy 15
DOMANI”W;02;15;02;2;0;Gmina;Gmina wiejska;0215022;;1994-01-01;;DOMANI”W;55-216;DomaniÛw 56
JELCZ-LASKOWICE;02;15;03;3;0;Gmina;Gmina miejsko-wiejska;0215033;;1994-01-01;;JELCZ-LASKOWICE;55-230;ul.Witosa 24
O£AWA;02;15;04;2;0;Gmina;Gmina wiejska;0215042;;1994-01-01;;O£AWA;55-200;Pl.Pi≥sudskiego 28
polkowicki;02;16;00;0;1;Powiat;;0216000;;1999-01-01;;POLKOWICE;59-100;ul.GÛrna 2
CHOCIAN”W;02;16;01;3;0;Gmina;Gmina miejsko-wiejska;0216013;;1994-01-01;;CHOCIAN”W;59-140;ul.Ratuszowa 10
GAWORZYCE;02;16;02;2;0;Gmina;Gmina wiejska;0216022;;1994-01-01;;GAWORZYCE;59-180;ul.OkrÍøna 85
GR BOCICE;02;16;03;2;0;Gmina;Gmina wiejska;0216032;;1994-01-01;;GR BOCICE;59-150;ul.G≥ogowska 3
POLKOWICE;02;16;04;3;0;Gmina;Gmina miejsko-wiejska;0216043;;1994-01-01;;POLKOWICE;59-100;ul.Rynek 1
PRZEMK”W;02;16;05;3;0;Gmina;Gmina miejsko-wiejska;0216053;;1994-01-01;;PRZEMK”W;59-325;Pl.Wolnoúci 25
RADWANICE;02;16;06;2;0;Gmina;Gmina wiejska;0216062;;1994-01-01;;RADWANICE;59-160;ul.Przemys≥owa 17
strzeliÒski;02;17;00;0;1;Powiat;;0217000;;1999-01-01;;STRZELIN;57-100;ul.Kamienna 10
BOR”W;02;17;01;2;0;Gmina;Gmina wiejska;0217012;;1994-01-01;;BOR”W;57-160;ul.Konstytucji 3 Maja 22
KONDRATOWICE;02;17;02;2;0;Gmina;Gmina wiejska;0217022;;1994-01-01;;KONDRATOWICE;57-150;ul.Nowa 1
PRZEWORNO;02;17;03;2;0;Gmina;Gmina wiejska;0217032;;1994-01-01;;PRZEWORNO;57-130;ul.Kolejowa 4
STRZELIN;02;17;04;3;0;Gmina;Gmina miejsko-wiejska;0217043;;1994-01-01;;STRZELIN;57-100;ul.Zπbkowicka 11
WI•Z”W;02;17;05;3;0;Gmina;Gmina miejsko-wiejska;0217053;;1994-01-01;;WI•Z”W;57-120;Pl.Wolnoúci 37
úredzki;02;18;00;0;1;Powiat;;0218000;;1999-01-01;;åRODA åL•SKA;55-300;ul.Wroc≥awska 2
KOSTOM£OTY;02;18;01;2;0;Gmina;Gmina wiejska;0218012;;1994-01-01;;KOSTOM£OTY;55-311;ul.ålÍøna 2
MALCZYCE;02;18;02;2;0;Gmina;Gmina wiejska;0218022;;1994-01-01;;MALCZYCE;55-320;ul.Traugutta 15
MI KINIA;02;18;03;2;0;Gmina;Gmina wiejska;0218032;;1994-01-01;;MI KINIA;55-330;ul.Koúciuszki 41
åRODA åL•SKA;02;18;04;3;0;Gmina;Gmina miejsko-wiejska;0218043;;1994-01-01;;åRODA åL•SKA;55-300;Pl.Wolnoúci 5
UDANIN;02;18;05;2;0;Gmina;Gmina wiejska;0218052;;1994-01-01;;UDANIN;55-340;Udanin 26
úwidnicki;02;19;00;0;1;Powiat;;0219000;;1999-01-01;;åWIDNICA;58-100;ul.M.Sk≥odowskiej-Curie 7
åWIDNICA;02;19;01;1;0;Gmina;Gmina miejska;0219011;;1994-01-01;;åWIDNICA;58-100;ul.Armii Krajowej 49
åWIEBODZICE;02;19;02;1;0;Gmina;Gmina miejska;0219021;;1994-01-01;;åWIEBODZICE;58-160;Rynek 1
DOBROMIERZ;02;19;03;2;0;Gmina;Gmina wiejska;0219032;;1994-01-01;;DOBROMIERZ;58-170;Pl.Wolnoúci 24
JAWORZYNA åL•SKA;02;19;04;3;0;Gmina;Gmina miejsko-wiejska;0219043;;1994-01-01;;JAWORZYNA åL•SKA;58-140;ul.Wolnoúci 9
MARCINOWICE;02;19;05;2;0;Gmina;Gmina wiejska;0219052;;1994-01-01;;MARCINOWICE;58-124;ul.Tuwima 2
STRZEGOM;02;19;06;3;0;Gmina;Gmina miejsko-wiejska;0219063;;1994-01-01;;STRZEGOM;58-150;Rynek 38
åWIDNICA;02;19;07;2;0;Gmina;Gmina wiejska;0219072;;1994-01-01;;åWIDNICA;58-100;ul.G≥owackiego 4
ØAR”W;02;19;08;3;0;Gmina;Gmina miejsko-wiejska;0219083;;1994-01-01;;ØAR”W;58-130;ul.Zamkowa 2
trzebnicki;02;20;00;0;1;Powiat;;0220000;;1999-01-01;;TRZEBNICA;55-100;ul.Ks. Dz.W.Bochenka 6
OBORNIKI åL•SKIE;02;20;01;3;0;Gmina;Gmina miejsko-wiejska;0220013;;1994-01-01;;OBORNIKI åL•SKIE;55-120;ul.Trzebnicka 1
PRUSICE;02;20;02;3;0;Gmina;Gmina miejsko-wiejska;0220023;;1994-01-01;;PRUSICE;55-110;Rynek -Ratusz 1
TRZEBNICA;02;20;03;3;0;Gmina;Gmina miejsko-wiejska;0220033;;1994-01-01;;TRZEBNICA;55-100;Pl.Pi≥sudskiego 1
WISZNIA MA£A;02;20;04;2;0;Gmina;Gmina wiejska;0220042;;1994-01-01;;WISZNIA MA£A;55-114;ul.Wroc≥awska 9
ZAWONIA;02;20;05;2;0;Gmina;Gmina wiejska;0220052;;1994-01-01;;ZAWONIA;55-106;ul.Trzebnicka 11
ØMIGR”D;02;20;06;3;0;Gmina;Gmina miejsko-wiejska;0220063;;1994-01-01;;ØMIGR”D;55-140;Pl.Wojska Polskiego 2-3
wa≥brzyski;02;21;00;0;1;Powiat;;0221000;;1999-01-01;;WA£BRZYCH;58-300;ul.Zamkowa 4
BOGUSZ”W-GORCE;02;21;01;1;0;Gmina;Gmina miejska;0221011;;1994-01-01;;BOGUSZ”W-GORCE;58-370;Plac Odrodzenia 1
JEDLINA-ZDR”J;02;21;02;1;0;Gmina;Gmina miejska;0221021;;1994-01-01;;JEDLINA ZDR”J;58-330;ul.PoznaÒska 2
SZCZAWNO-ZDR”J;02;21;03;1;0;Gmina;Gmina miejska;0221031;;1994-01-01;;SZCZAWNO-ZDR”J;58-310;ul.Koúciuszki 17
CZARNY B”R;02;21;04;2;0;Gmina;Gmina wiejska;0221042;;1994-01-01;;CZARNY B”R;58-379;ul.XXX lecia PRL 18
G£USZYCA;02;21;05;3;0;Gmina;Gmina miejsko-wiejska;0221053;;1994-01-01;;G£USZYCA;58-340;ul.Grunwaldzka  55
MIEROSZ”W;02;21;06;3;0;Gmina;Gmina miejsko-wiejska;0221063;;1994-01-01;;MIEROSZ”W;58-350;Plac Niepodleg≥oúci 1
STARE BOGACZOWICE;02;21;07;2;0;Gmina;Gmina wiejska;0221072;;1994-01-01;;STARE BOGACZOWICE;58-312;ul.G≥Ûwna 132
WALIM;02;21;08;2;0;Gmina;Gmina wiejska;0221082;;1994-01-01;;WALIM;58-320;ul.Boczna 9
WA£BRZYCH;02;21;09;1;0;Gmina;Gmina miejska;0221091;;2003-01-01;;WA£BRZYCH;58-300;Pl.Magistracki 1
wo≥owski;02;22;00;0;1;Powiat;;0222000;;1999-01-01;;WO£”W;56-100;pl.Piastowski 2
BRZEG DOLNY;02;22;01;3;0;Gmina;Gmina miejsko-wiejska;0222013;;1994-01-01;;BRZEG DOLNY;56-120;ul.Kolejowa 29
WI—SKO;02;22;02;2;0;Gmina;Gmina wiejska;0222022;;1994-01-01;;WI—SKO;56-160;pl.Wolnoúci 2
WO£”W;02;22;03;3;0;Gmina;Gmina miejsko-wiejska;0222033;;1994-01-01;;WO£”W;56-100;Rynek-Ratusz
wroc≥awski;02;23;00;0;1;Powiat;;0223000;;1999-01-01;;WROC£AW;50-040;ul.Podwale 28
CZERNICA;02;23;01;2;0;Gmina;Gmina wiejska;0223012;;1994-01-01;;CZERNICA;55-003;ul.Kolejowa 3
D£UGO£ KA;02;23;02;2;0;Gmina;Gmina wiejska;0223022;;1994-01-01;;MirkÛw;55-095;ul.Wroc≥awska 18
JORDAN”W åL•SKI;02;23;03;2;0;Gmina;Gmina wiejska;0223032;;1994-01-01;;JORDAN”W åL•SKI;55-065;ul.Wroc≥awska 55
K•TY WROC£AWSKIE;02;23;04;3;0;Gmina;Gmina miejsko-wiejska;0223043;;1994-01-01;;K•TY WROC£AWSKIE;55-080;Rynek-Ratusz 1
KOBIERZYCE;02;23;05;2;0;Gmina;Gmina wiejska;0223052;;1994-01-01;;KOBIERZYCE;55-040;Al.Pa≥acowa 1
MIETK”W;02;23;06;2;0;Gmina;Gmina wiejska;0223062;;1994-01-01;;MIETK”W;55-081;ul.Kolejowa 22a
SOB”TKA;02;23;07;3;0;Gmina;Gmina miejsko-wiejska;0223073;;1994-01-01;;SOB”TKA;55-050;Rynek 1
SIECHNICE;02;23;08;3;0;Gmina;Gmina miejsko-wiejska;0223083;;2010-01-01;;åWI TA KATARZYNA;55-010;ul.Øernicka 17
Ø”RAWINA;02;23;09;2;0;Gmina;Gmina wiejska;0223092;;1994-01-01;;Ø”RAWINA;55-020;ul.Kolejowa 6
zπbkowicki;02;24;00;0;1;Powiat;;0224000;;1999-01-01;;Z•BKOWICE åL•SKIE;57-200;ul.Sienkiewicza 11
BARDO;02;24;01;3;0;Gmina;Gmina miejsko-wiejska;0224013;;1994-01-01;;BARDO;57-256;Rynek 2
CIEP£OWODY;02;24;02;2;0;Gmina;Gmina wiejska;0224022;;1994-01-01;;CIEP£OWODY;57-211;ul.Kolejowa 3
KAMIENIEC Z•BKOWICKI;02;24;03;2;0;Gmina;Gmina wiejska;0224032;;1994-01-01;;KAMIENIEC Z•BKOWICKI;57-230;ul.Zπbkowicka 26
STOSZOWICE;02;24;04;2;0;Gmina;Gmina wiejska;0224042;;1994-01-01;;STOSZOWICE;57-213;Stoszowice 97
Z•BKOWICE åL•SKIE;02;24;05;3;0;Gmina;Gmina miejsko-wiejska;0224053;;1994-01-01;;Z•BKOWICE åL•SKIE;57-200;ul.1 Maja 15
ZI BICE;02;24;06;3;0;Gmina;Gmina miejsko-wiejska;0224063;;1994-01-01;;ZI BICE;57-220;ul.Przemys≥owa 10
Z£OTY STOK;02;24;07;3;0;Gmina;Gmina miejsko-wiejska;0224073;;1994-01-01;;Z£OTY STOK;57-250;Rynek 22
zgorzelecki;02;25;00;0;1;Powiat;;0225000;;1999-01-01;;ZGORZELEC;59-900;ul.BohaterÛw II ArmiiWP 8
ZAWID”W;02;25;01;1;0;Gmina;Gmina miejska;0225011;;1994-01-01;;ZAWID”W;59-970;Pl.ZwyciÍstwa 21/22
ZGORZELEC;02;25;02;1;0;Gmina;Gmina miejska;0225021;;1994-01-01;;ZGORZELEC;59-900;ul.DomaÒskiego 7
BOGATYNIA;02;25;03;3;0;Gmina;Gmina miejsko-wiejska;0225033;;1994-01-01;;BOGATYNIA;59-920;ul.DaszyÒskiego 1
PIE—SK;02;25;04;3;0;Gmina;Gmina miejsko-wiejska;0225043;;1994-01-01;;PIE—SK;59-930;ul.Boles≥awiecka 29
SULIK”W;02;25;05;2;0;Gmina;Gmina wiejska;0225052;;1994-01-01;;SULIK”W;59-975;ul.Dworcowa 5
W GLINIEC;02;25;06;3;0;Gmina;Gmina miejsko-wiejska;0225063;;1994-01-01;;W GLINIEC;59-940;ul.Sikorskiego 3
ZGORZELEC;02;25;07;2;0;Gmina;Gmina wiejska;0225072;;1994-01-01;;ZGORZELEC;59-900;ul.Koúciuszki 70
z≥otoryjski;02;26;00;0;1;Powiat;;0226000;;1999-01-01;;Z£OTORYJA;59-500;pl.Niepodleg≥oúci 8
WOJCIESZ”W;02;26;01;1;0;Gmina;Gmina miejska;0226011;;1994-01-01;;WOJCIESZ”W;59-550;ul.Pocztowa 1
Z£OTORYJA;02;26;02;1;0;Gmina;Gmina miejska;0226021;;1994-01-01;;Z£OTORYJA;59-500;Pl.Orlπt Lwowskich 1
PIELGRZYMKA;02;26;03;2;0;Gmina;Gmina wiejska;0226032;;1994-01-01;;PIELGRZYMKA;59-524;Pielgrzymka 117
